slug,title,thumbnail_path,thumbnail_status,topic,manual_action
structure-and-device-operando-photostability-of-quasi-2d-ruddlesden-popper-perovskites-engineering-the-spacer-cation-matters,Structure and device-operando photostability of quasi-2D Ruddlesden-Popper perovskites: engineering the spacer cation matters,/media/publications/structure-and-device-operando-photostability-of-quasi-2d-ruddlesden-popper-perovskites-engineering-the-spacer-cation-matters/publication-thumbnail.png,real,2D and Layered Perovskites,
chang-2025-unlocking,"Unlocking the porous, anomalous narrow band gap inorganic graphenylene-like CuO monolayer with post oxidation advantage for thermophotovoltaic and solar cell",/media/publications/chang-2025-unlocking/publication-thumbnail.png,real,Interfaces and Heterostructures,
yang-2025-off,On-Off Switching of Singlet Self-Trapped Exciton Emission Endows Antimony-Doped Indium Halides with Excitation-Wavelength-Dependent Luminescence,/media/publications/yang-2025-off/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
jiang-2025-flexible,"Flexible and efficient semiempirical DFTB parameters for electronic structure prediction of 3D, 2D iodide perovskites and heterostructures",/media/publications/jiang-2025-flexible/publication-thumbnail.png,real,DFTB and Method Development,
chang-2025-evidence,Evidence of the As/PtSe2 Heterostructure with a Robust Built-In Electric Field as a Competitive Z-Scheme Photocatalyst for Overall Water Splitting,/media/publications/chang-2025-evidence/publication-thumbnail.png,real,Interfaces and Heterostructures,
bidentate-pyridine-passivators-attaching-trifluoromethyl-substitute-groups-in-varied-positions-for-efficient-carbon-based-perovskite-solar-cells,Bidentate pyridine passivators attaching trifluoromethyl substitute groups in varied positions for efficient carbon-based perovskite solar cells,/media/publications/bidentate-pyridine-passivators-attaching-trifluoromethyl-substitute-groups-in-varied-positions-for-efficient-carbon-based-perovskite-solar-cells/publication-thumbnail.png,real,Grain Boundaries and Defects,
chang-2025-activating,"Activating the Screened Thermoelectric and Photocatalytic Water-Splitting Potential in Janus Sn2XY (X$ne$ Y= Te, Se, and S) Monolayers via Doping and Strain Engineering",/media/publications/chang-2025-activating/publication-thumbnail.png,real,Grain Boundaries and Defects,
ramadan-2024-role,The Role of the Organic Cation in Developing Efficient Green Perovskite LEDs Based on Quasi-2D Perovskite Heterostructures,/media/publications/ramadan-2024-role/publication-thumbnail.png,real,2D and Layered Perovskites,
meng-2024-organic,Organic-Inorganic Hybrid Cuprous-Based Metal Halides with Unique Two-Dimensional Crystal Structure for White Light-Emitting Diodes,/media/publications/meng-2024-organic/publication-thumbnail.png,real,2D and Layered Perovskites,
ji-2024-highly,Highly Luminescent Phase-Stable Hybrid Manganese Halides for Efficient X-ray Imaging,/media/publications/ji-2024-highly/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
bai-2024-dopant,From Dopant to Host: Solution Synthesis and Light-Emitting Applications of Organic-Inorganic Lanthanide-Based Metal Halides,/media/publications/bai-2024-dopant/publication-thumbnail.png,real,Grain Boundaries and Defects,
jiang-2024-flexible,"Flexible and Efficient Semi-Empirical DFTB methods for Electronic Structure Prediction of 3D, 2D Perovskites and Heterostructures",/media/publications/jiang-2024-flexible/publication-thumbnail.png,real,DFTB and Method Development,
thebaud-2024-extending,Extending tight-binding models from bulk to layered halide perovskites,/media/publications/thebaud-2024-extending/publication-thumbnail.png,real,DFTB and Method Development,
li-2024-electronic,Electronic coupling between perovskite nanocrystal and fullerene modulates hot carrier capture,/media/publications/li-2024-electronic/publication-thumbnail.png,real,Interfaces and Heterostructures,
yeoh-2024-computational,Computational Screening of a Single-Atom Catalyst Supported by Monolayer Nb2S2C for Oxygen Reduction Reaction,/media/publications/yeoh-2024-computational/publication-thumbnail.png,real,Oxides and Catalysis,
chang-2024-adsorption,Adsorption and reversible detection of toxic halogens gases at room temperature by two-dimensional Al2SSe for occupational sustainability,/media/publications/chang-2024-adsorption/publication-thumbnail.png,real,2D and Layered Perovskites,
wang-2023-ultraviolet,Ultraviolet Emission from Cerium-Based Organic-Inorganic Hybrid Halides and Their Abnormal Anti-Thermal Quenching Behavior,/media/publications/wang-2023-ultraviolet/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
byeon-2023-structural,Structural Isomer of Fluorinated Ruddlesden-Popper Perovskites Toward Efficient and Stable 2D/3D Perovskite Solar Cells,/media/publications/byeon-2023-structural/publication-thumbnail.png,real,2D and Layered Perovskites,
chang-2023-strain,Strain-Induced SiP--PtS2 Heterostructure with Fast Carrier Transport for Boosted Photocatalytic Hydrogen Conversion,/media/publications/chang-2023-strain/publication-thumbnail.png,real,Interfaces and Heterostructures,
jiang-2023-scale,Scale-up Solutions of 2D Perovskite Photovoltaics: Insights of Multiscale Structures,/media/publications/jiang-2023-scale/publication-thumbnail.png,real,2D and Layered Perovskites,
xi-2023-mechanism,On the mechanism of solvents catalyzed structural transformation in metal halide perovskites,/media/publications/xi-2023-mechanism/publication-thumbnail.png,real,Molecular Dynamics,
