slug,title,displayed_publication_year,doi_found_in_page,status
bai-2024-dopant,From Dopant to Host: Solution Synthesis and Light-Emitting Applications of Organic-Inorganic Lanthanide-Based Metal Halides,2024,https://doi.org/10.1002/sstr.202400096,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
bartesaghi-2018-partially,Partially replacing Pb2+ by Mn2+ in hybrid metal halide perovskites: Structural and electronic properties,2018,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
byeon-2023-structural,Structural Isomer of Fluorinated Ruddlesden-Popper Perovskites Toward Efficient and Stable 2D/3D Perovskite Solar Cells,2023,https://doi.org/10.1021/acsami.3c01754,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
caiazzo-2021-effect,Effect of Co-Solvents on the Crystallization and Phase Distribution of Mixed-Dimensional Perovskites (Adv. Energy Mater. 42/2021),2021,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
cao-2020-alkali,Alkali-cation-enhanced benzylammonium passivation for efficient and stable perovskite solar cells fabricated through sequential deposition,2020,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2022-boosting,"Boosting the solar conversion efficiency of MoSe2/PtX2 (X= O, S) vdW heterostructure by strain and electric field engineering",2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2022-constructing,Constructing trifunctional MoTe 2/As van der Waals heterostructures for versatile energy applications,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2022-improved,Improved Thermoelectric--Photovoltaic Performance of Ag2Se Originating from a Halogenation-Induced Wider Band Gap and Low Crystal Symmetry,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2022-prediction,Prediction of stable silver selenide-based energy materials sustained by rubidium selenide alloying,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2023-achieving,Achieving type-II SnSSe/as van der waals heterostructure with satisfactory oxygen tolerance for optoelectronic and photovoltaic applications,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2023-forecasting,Forecasting the unrevealed surface-controlled photocatalytic water splitting in two-dimensional Ag 2 Se with ultrafast carrier mobility: a first-principles study,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2023-strain,Strain-Induced SiP--PtS2 Heterostructure with Fast Carrier Transport for Boosted Photocatalytic Hydrogen Conversion,2023,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2024-adsorption,Adsorption and reversible detection of toxic halogens gases at room temperature by two-dimensional Al2SSe for occupational sustainability,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2025-activating,"Activating the Screened Thermoelectric and Photocatalytic Water-Splitting Potential in Janus Sn2XY (X$ne$ Y= Te, Se, and S) Monolayers via Doping and Strain Engineering",2025,https://doi.org/10.1021/acs.jpcc.4c06561,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2025-evidence,Evidence of the As/PtSe2 Heterostructure with a Robust Built-In Electric Field as a Competitive Z-Scheme Photocatalyst for Overall Water Splitting,2025,https://doi.org/10.1021/acs.jpcc.5c00818,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chang-2025-unlocking,"Unlocking the porous, anomalous narrow band gap inorganic graphenylene-like CuO monolayer with post oxidation advantage for thermophotovoltaic and solar cell",2025,https://doi.org/10.1016/j.surfin.2024.105588,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2015-ab,"Ab InitioStudy of Temperature, Humidity, and Covalent Functionalization-Induced Bandgap Change of Single-Walled Carbon Nanotubes",2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2015-first,First-principles study of the effect of functional groups on polyaniline backbone,2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2015-molecular,Molecular Modeling of pH-Dependent Properties of Emeraldine Base Polyaniline for pH-Based Chemical Sensors,2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-ab,Ab initio study of the adsorption of small molecules on stanene,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-effect,"Effect of multilayer structure, stacking order and external electric field on the electrical properties of few-layer boron-phosphide",2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-electrical,Electrical and optical properties of germanene on single-layer BeO substrate,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-electronic,The electronic and optical properties of silicene/g-ZnS heterobilayers: a theoretical study,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-functionalization,Functionalization-induced changes in the structural and physical properties of amorphous polyaniline: a first-principles and molecular dynamics study,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-sige,SiGe/h-BN heterostructure with inspired electronic and optical properties: a first-principles study,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
chen-2016-tunable,Tunable electronic structure and enhanced optical properties in quasi-metallic hydrogenated/fluorinated SiC heterobilayer,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
even-2022-tuning,Tuning the properties of multilayered perovskites and their interfaces for optoelectronic applications,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ji-2022-colloidal,Colloidal synthesis of size-confined CsAgCl 2 nanocrystals: Implications for electroluminescence applications,2022,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
ji-2024-highly,Highly Luminescent Phase-Stable Hybrid Manganese Halides for Efficient X-ray Imaging,2024,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2015-ab,Ab initio studies of the differences in the chemical reactivity and electronic properties of polyaniline and its derivatives,2015,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2016-graphane,Graphane/fully hydrogenated h-BN bilayer: Marvellous dihydrogen bonding and effective band structure engineering,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2016-influence,The Influence of Tensile Stress on Polyaniline as Strain Sensor,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2016-tuning,Tuning the electronic and optical properties of graphane/silicane and fhBN/silicane nanosheets via interfacial dihydrogen bonding and electrical field control,2016,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2017-exploration,"Exploration of new ferromagnetic, semiconducting and biocompatible Nb 3 X 8 (X= Cl, Br or I) monolayers with considerable visible and infrared light absorption",2017,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
jiang-2018-influence,Influence of ion-exchange on lead-free inorganic Sn halide Perovskites,2018,,Exact month/day not verified from local files; public page displays year only to avoid false Jan. 1 date.
