slug,thumbnail_path,file_exists,file_readable,generated_in_archive,generated_in_detail_page,thumbnail_status,image_type,issue_found,action_taken
duan-2026-photostability,/media/publications/duan-2026-photostability/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2025-unlocking,/media/publications/chang-2025-unlocking/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
yang-2025-off,/media/publications/yang-2025-off/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2025-flexible,/media/publications/jiang-2025-flexible/publication-thumbnail.png,True,True,True,True,real,highlighting_figure,none,Validated real thumbnail path and generated references.
chang-2025-evidence,/media/publications/chang-2025-evidence/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
geng-2025-bidentate,/media/publications/geng-2025-bidentate/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2025-activating,/media/publications/chang-2025-activating/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
ramadan-2024-role,/media/publications/ramadan-2024-role/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
meng-2024-organic,/media/publications/meng-2024-organic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
ji-2024-highly,/media/publications/ji-2024-highly/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
bai-2024-dopant,/media/publications/bai-2024-dopant/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
li-2024-electronic,/media/publications/li-2024-electronic/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
yeoh-2024-computational,/media/publications/yeoh-2024-computational/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2024-adsorption,/media/publications/chang-2024-adsorption/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
wang-2023-ultraviolet,/media/publications/wang-2023-ultraviolet/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
byeon-2023-structural,/media/publications/byeon-2023-structural/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
chang-2023-strain,/media/publications/chang-2023-strain/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
jiang-2023-scale,/media/publications/jiang-2023-scale/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
xi-2023-mechanism,/media/publications/xi-2023-mechanism/publication-thumbnail.png,True,True,True,True,real,journal_cover,none,Converted source image to valid PNG. Validated real thumbnail path and generated references.
